origin,shape,carat_weight,color,clarity,cut,price
NATURAL,round,0.30,J,VS1,Excellent,365
NATURAL,round,0.32,F,I1,Excellent,405
NATURAL,round,0.30,J,VS1,Excellent,377
NATURAL,round,0.30,K,SI1,Very_Good,406
NATURAL,round,0.21,E,VVS1,Very_Good,399
NATURAL,round,0.24,J,VVS1,Excellent,386
NATURAL,emerald,0.21,F,SI1,Excellent,374
NATURAL,round,0.30,E,SI2,Very_Good,395
NATURAL,emerald,0.31,G,VVS1,Excellent,408
NATURAL,round,0.30,J,I1,Good,356
NATURAL,pear,0.31,H,SI2,Very_Good,412
NATURAL,round,0.18,E,VS1,Excellent,386
NATURAL,round,0.30,J,VVS2,Excellent,373
NATURAL,round,0.18,E,VS1,Excellent,386
NATURAL,round,0.18,E,VS1,Excellent,386
NATURAL,round,0.18,I,SI1,Excellent,237
NATURAL,round,0.30,J,SI1,Excellent,391
NATURAL,round,0.18,H,VS1,Very_Good,321
NATURAL,round,0.30,K,VS1,Excellent,358
NATURAL,round,0.23,K,VVS1,Excellent,345
NATURAL,emerald,0.30,G,VS1,Excellent,383
NATURAL,round,0.21,F,VVS2,Excellent,385
NATURAL,round,0.33,J,I1,Very_Good,302
NATURAL,round,0.31,J,I1,Excellent,326
NATURAL,round,0.18,E,VS1,Very_Good,409
NATURAL,round,0.24,E,SI1,Good,396
NATURAL,round,0.32,E,I1,Very_Good,374
NATURAL,round,0.18,E,VS1,Excellent,386
NATURAL,round,0.34,K,VS2,Excellent,337
NATURAL,round,0.19,H,VS2,Excellent,341
NATURAL,round,0.23,F,SI1,Excellent,402
NATURAL,round,0.30,I,VS2,Excellent,401
NATURAL,round,0.32,K,SI1,Fair,341
NATURAL,princess,0.30,I,VS2,Excellent,380
NATURAL,round,0.18,G,VS1,Very_Good,325
NATURAL,princess,0.24,D,VS2,Very_Good,360
NATURAL,round,0.31,J,VS2,Excellent,377
NATURAL,round,0.30,K,IF,Excellent,380
NATURAL,round,0.34,K,SI2,Excellent,313
NATURAL,round,0.31,J,VVS2,Excellent,406
NATURAL,round,0.30,E,I1,Very_Good,407
NATURAL,round,0.30,K,VVS2,Very_Good,386
NATURAL,round,0.30,K,VVS2,Very_Good,342
NATURAL,round,0.30,J,VS2,Excellent,373
NATURAL,round,0.30,K,SI1,Excellent,368
NATURAL,round,0.32,J,VS1,Excellent,378
NATURAL,round,0.30,K,SI1,Excellent,371
NATURAL,round,0.30,K,VS1,Very_Good,400
NATURAL,emerald,0.31,G,SI2,Excellent,362
NATURAL,round,0.32,J,VS1,Excellent,387
NATURAL,oval,0.30,I,SI2,Very_Good,412
NATURAL,round,0.30,H,I1,Excellent,385
NATURAL,round,0.34,J,SI2,Excellent,357
NATURAL,round,0.34,K,VS1,Excellent,364
NATURAL,radiant,0.30,J,I1,Excellent,314
NATURAL,round,0.30,K,IF,Excellent,373
NATURAL,princess,0.24,G,VVS2,Very_Good,363
NATURAL,round,0.23,D,SI2,Excellent,402
NATURAL,round,0.33,J,VVS2,Excellent,397
NATURAL,round,0.18,J,VVS1,Excellent,316
NATURAL,round,0.33,K,I1,Excellent,341
NATURAL,round,0.26,H,VS2,Fair,343
NATURAL,round,0.30,K,VS1,Very_Good,349
NATURAL,pear,0.31,J,I1,Excellent,373
NATURAL,emerald,0.31,G,VVS1,Excellent,407
NATURAL,round,0.31,J,VS1,Very_Good,394
NATURAL,round,0.29,D,SI1,Good,405
NATURAL,round,0.18,E,SI1,Excellent,330
NATURAL,round,0.23,K,VS2,Excellent,370
